Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
11/08/2019,16:30 (20:30),Premier League,Matchweek 1,Sun,Home,W,4,0,Chelsea,2.3,0.8,46,"73,620",David de Gea,4-2-3-1,Anthony Taylor,Match Report,
19/08/2019,20:00 (00:00),Premier League,Matchweek 2,Mon,Away,D,1,1,Wolves,1.3,0.3,64,"31,314",David de Gea,4-2-3-1,Jonathan Moss,Match Report,
24/08/2019,15:00 (19:00),Premier League,Matchweek 3,Sat,Home,L,1,2,Crystal Palace,2.4,0.7,70,"73,454",David de Gea,4-2-3-1,Paul Tierney,Match Report,
31/08/2019,12:30 (16:30),Premier League,Matchweek 4,Sat,Away,D,1,1,Southampton,1.6,0.7,60,"30,499",Ashley Young,4-2-3-1,Mike Dean,Match Report,
14/09/2019,15:00 (19:00),Premier League,Matchweek 5,Sat,Home,W,1,0,Leicester City,1,0.4,43,"73,689",Ashley Young,4-2-3-1,Martin Atkinson,Match Report,
19/09/2019,20:00 (00:00),Europa Lg,Group stage,Thu,Home,W,1,0,Astana FK,2.3,0.2,72,"50,783",Nemanja Matic,4-2-3-1,François Letexier,Match Report,
22/09/2019,14:00 (18:00),Premier League,Matchweek 6,Sun,Away,L,0,2,West Ham,1,0.5,52,"59,936",Ashley Young,4-2-3-1,Anthony Taylor,Match Report,
25/09/2019,20:00 (00:00),EFL Cup,Third round,Wed,Home,D,1,1,Rochdale,,,65,"58,313",Axel Tuanzebe,4-2-3-1,John Brooks,Match Report,Manchester Utd won on penalty kicks following extra time
30/09/2019,20:00 (00:00),Premier League,Matchweek 7,Mon,Home,D,1,1,Arsenal,1.2,1.9,55,"73,201",Ashley Young,4-2-3-1,Kevin Friend,Match Report,
03/10/2019,18:55 (21:55),Europa Lg,Group stage,Thu,Away,D,0,0,AZ Alkmaar,0.6,0.6,48,"13,863",David de Gea,4-2-3-1,Gediminas Mažeika,Match Report,
06/10/2019,16:30 (20:30),Premier League,Matchweek 8,Sun,Away,L,0,1,Newcastle Utd,0.6,0.5,68,"51,198",Ashley Young,4-2-3-1,Mike Dean,Match Report,
20/10/2019,16:30 (20:30),Premier League,Matchweek 9,Sun,Home,D,1,1,Liverpool,0.7,1.1,34,"73,737",Ashley Young,3-4-1-2,Martin Atkinson,Match Report,
24/10/2019,18:55 (21:55),Europa Lg,Group stage,Thu,Away,W,1,0,Partizan,1.1,0.8,61,"25,627",Harry Maguire,03/04/2003,Javier Estrada,Match Report,
27/10/2019,16:30 (21:30),Premier League,Matchweek 10,Sun,Away,W,3,1,Norwich City,4.1,1,54,"27,108",Ashley Young,4-2-3-1,Stuart Attwell,Match Report,
