Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
30/10/2019,20:05 (01:05),EFL Cup,Fourth round,Wed,Away,W,2,1,Chelsea,,,35,"38,645",Harry Maguire,3-4-1-2,Paul Tierney,Match Report,
02/11/2019,12:30 (17:30),Premier League,Matchweek 11,Sat,Away,L,0,1,Bournemouth,0.7,1.7,57,"10,669",Ashley Young,4-2-3-1,Chris Kavanagh,Match Report,
07/11/2019,20:00 (01:00),Europa Lg,Group stage,Thu,Home,W,3,0,Partizan,2.2,0.1,63,"62,955",Ashley Young,4-2-3-1,Mattias Gestranius,Match Report,
10/11/2019,14:00 (19:00),Premier League,Matchweek 12,Sun,Home,W,3,1,Brighton,2.2,0.9,44,"73,556",Harry Maguire,4-2-3-1,Jonathan Moss,Match Report,
24/11/2019,16:30 (21:30),Premier League,Matchweek 13,Sun,Away,D,3,3,Sheffield Utd,1.4,1.4,59,"32,024",Harry Maguire,03/04/2003,Andre Marriner,Match Report,
28/11/2019,21:50 (20:50),Europa Lg,Group stage,Thu,Away,L,1,2,Astana FK,2,1.2,65,"28,949",Jesse Lingard,4-2-3-1,Donatas Rumšas,Match Report,
01/12/2019,16:30 (21:30),Premier League,Matchweek 14,Sun,Home,D,2,2,Aston Villa,1.7,1.4,62,"73,381",Harry Maguire,4-2-3-1,Craig Pawson,Match Report,
04/12/2019,19:30 (00:30),Premier League,Matchweek 15,Wed,Home,W,2,1,Tottenham,1.3,0.5,47,"73,252",Ashley Young,4-2-3-1,Paul Tierney,Match Report,
07/12/2019,17:30 (22:30),Premier League,Matchweek 16,Sat,Away,W,2,1,Manchester City,1.6,2,29,"54,403",Harry Maguire,4-2-3-1,Anthony Taylor,Match Report,
12/12/2019,20:00 (01:00),Europa Lg,Group stage,Thu,Home,W,4,0,AZ Alkmaar,1.5,0.8,50,"65,773",Ashley Young,4-2-3-1,Sandro Schärer,Match Report,
15/12/2019,14:00 (19:00),Premier League,Matchweek 17,Sun,Home,D,1,1,Everton,1.7,0.3,65,"63,328",Harry Maguire,4-2-3-1,Michael Oliver,Match Report,
18/12/2019,20:00 (01:00),EFL Cup,Quarter-finals,Wed,Home,W,3,0,Colchester Utd,,,74,"57,559",Ashley Young,4-2-3-1,David Coote,Match Report,
22/12/2019,14:00 (19:00),Premier League,Matchweek 18,Sun,Away,L,0,2,Watford,1.7,1.5,63,"21,488",Harry Maguire,4-2-3-1,Lee Mason,Match Report,
26/12/2019,17:30 (22:30),Premier League,Matchweek 19,Thu,Home,W,4,1,Newcastle Utd,1.6,0.9,73,"73,206",Harry Maguire,4-2-3-1,Kevin Friend,Match Report,
28/12/2019,19:45 (00:45),Premier League,Matchweek 20,Sat,Away,W,2,0,Burnley,1.8,0.4,62,"21,924",Ashley Young,4-2-3-1,Mike Dean,Match Report,
01/01/2020,20:00 (01:00),Premier League,Matchweek 21,Wed,Away,L,0,2,Arsenal,0.8,1.5,51,"60,328",Harry Maguire,4-2-3-1,Chris Kavanagh,Match Report,
04/01/2020,17:31 (22:31),FA Cup,Third round,Sat,Away,D,0,0,Wolves,,,51,"31,381",Ashley Young,4-2-3-1,Paul Tierney,Match Report,
07/01/2020,20:00 (01:00),EFL Cup,Semi-finals,Tue,Home,L,1,3,Manchester City,,,43,"69,023",Marcus Rashford,4-2-3-1,Mike Dean,Match Report,Leg 1 of 2
11/01/2020,15:00 (20:00),Premier League,Matchweek 22,Sat,Home,W,4,0,Norwich City,2.2,0.3,61,"73,271",Harry Maguire,4-2-3-1,Anthony Taylor,Match Report,
15/01/2020,19:45 (00:45),FA Cup,Third round,Wed,Home,W,1,0,Wolves,,,57,"67,025",Harry Maguire,4-2-3-1,Kevin Friend,Match Report,
19/01/2020,16:30 (21:30),Premier League,Matchweek 23,Sun,Away,L,0,2,Liverpool,1.2,2.3,47,"52,916",Harry Maguire,3-4-1-2,Craig Pawson,Match Report,
22/01/2020,20:15 (01:15),Premier League,Matchweek 24,Wed,Home,L,0,2,Burnley,1.8,0.6,70,"73,198",Harry Maguire,4-2-3-1,Jonathan Moss,Match Report,
26/01/2020,15:00 (20:00),FA Cup,Fourth round,Sun,Away,W,6,0,Tranmere Rovers,,,72,"13,779",Harry Maguire,3-4-1-2,Lee Mason,Match Report,
29/01/2020,19:45 (00:45),EFL Cup,Semi-finals,Wed,Away,W,1,0,Manchester City,,,39,"51,000",Harry Maguire,3-4-1-2,Kevin Friend,Match Report,Leg 2 of 2; Manchester City won
01/02/2020,17:30 (22:30),Premier League,Matchweek 25,Sat,Home,D,0,0,Wolves,0.8,0.9,64,"73,363",Harry Maguire,4-2-3-1,Paul Tierney,Match Report,
17/02/2020,20:00 (01:00),Premier League,Matchweek 26,Mon,Away,W,2,0,Chelsea,0.8,1.4,39,"40,504",Harry Maguire,3-4-1-2,Anthony Taylor,Match Report,
20/02/2020,18:55 (22:55),Europa Lg,Round of 32,Thu,Away,D,1,1,Club Brugge,1.1,1.5,58,"27,006",Harry Maguire,03/04/2003,Aliaksei Kulbakou,Match Report,Leg 1 of 2
23/02/2020,14:00 (19:00),Premier League,Matchweek 27,Sun,Home,W,3,0,Watford,2.4,0.3,57,"73,347",Harry Maguire,4-2-3-1,Martin Atkinson,Match Report,
27/02/2020,20:00 (01:00),Europa Lg,Round of 32,Thu,Home,W,5,0,Club Brugge,4.2,0.3,67,"70,397",Harry Maguire,4-2-3-1,Serdar Gözübüyük,Match Report,Leg 2 of 2; Manchester Utd won
01/03/2020,14:00 (19:00),Premier League,Matchweek 28,Sun,Away,D,1,1,Everton,1,2.3,55,"39,374",Harry Maguire,04/04/2002,Chris Kavanagh,Match Report,
05/03/2020,19:45 (00:45),FA Cup,Fifth round,Thu,Away,W,3,0,Derby County,,,62,"31,379",Juan Mata,4-2-3-1,Craig Pawson,Match Report,
08/03/2020,16:30 (21:30),Premier League,Matchweek 29,Sun,Home,W,2,0,Manchester City,1.4,0.6,28,"73,288",Harry Maguire,3-4-1-2,Mike Dean,Match Report,
12/03/2020,18:55 (22:55),Europa Lg,Round of 16,Thu,Away,W,5,0,LASK,2.5,0.4,56,,Harry Maguire,4-2-3-1,Artur Soares Dias,Match Report,Leg 1 of 2
19/06/2020,20:15 (00:15),Premier League,Matchweek 30,Fri,Away,D,1,1,Tottenham,1.7,0.3,60,,Harry Maguire,4-2-3-1,Jonathan Moss,Match Report,
24/06/2020,18:00 (22:00),Premier League,Matchweek 31,Wed,Home,W,3,0,Sheffield Utd,2.2,0.2,68,,Harry Maguire,4-2-3-1,Anthony Taylor,Match Report,
27/06/2020,17:30 (21:30),FA Cup,Quarter-finals,Sat,Away,W,2,1,Norwich City,,,66,,Harry Maguire,4-2-3-1,Jonathan Moss,Match Report,Required Extra Time
30/06/2020,20:15 (00:15),Premier League,Matchweek 32,Tue,Away,W,3,0,Brighton,0.8,0.5,62,,Harry Maguire,4-2-3-1,Andre Marriner,Match Report,
04/07/2020,15:00 (19:00),Premier League,Matchweek 33,Sat,Home,W,5,2,Bournemouth,2.2,1.2,69,,Harry Maguire,4-2-3-1,Mike Dean,Match Report,
09/07/2020,20:15 (00:15),Premier League,Matchweek 34,Thu,Away,W,3,0,Aston Villa,2.6,0.5,66,,Harry Maguire,4-2-3-1,Jonathan Moss,Match Report,
13/07/2020,20:00 (00:00),Premier League,Matchweek 35,Mon,Home,D,2,2,Southampton,1.2,1.6,46,,Harry Maguire,4-2-3-1,Chris Kavanagh,Match Report,
16/07/2020,20:15 (00:15),Premier League,Matchweek 36,Thu,Away,W,2,0,Crystal Palace,1.8,0.8,58,,Harry Maguire,4-2-3-1,Graham Scott,Match Report,
19/07/2020,18:00 (22:00),FA Cup,Semi-finals,Sun,Neutral,L,1,3,Chelsea,,,51,,Harry Maguire,3-4-1-2,Mike Dean,Match Report,
22/07/2020,18:00 (22:00),Premier League,Matchweek 37,Wed,Home,D,1,1,West Ham,0.7,1.8,56,,Harry Maguire,4-2-3-1,Paul Tierney,Match Report,
26/07/2020,16:00 (20:00),Premier League,Matchweek 38,Sun,Away,W,2,0,Leicester City,1.9,1.4,53,,Harry Maguire,4-2-3-1,Martin Atkinson,Match Report,
05/08/2020,20:00 (00:00),Europa Lg,Round of 16,Wed,Home,W,2,1,LASK,1.6,0.8,62,,Harry Maguire,4-2-3-1,Anastasios Sidiropoulos,Match Report,Leg 2 of 2; Manchester Utd won
10/08/2020,21:00 (00:00),Europa Lg,Quarter-finals,Mon,Home,W,1,0,FC Copenhagen,2.8,0.9,55,,Harry Maguire,4-2-3-1,Clément Turpin,Match Report,Required Extra Time
16/08/2020,21:00 (00:00),Europa Lg,Semi-finals,Sun,Away,L,1,2,Sevilla,2.4,0.9,47,,Harry Maguire,4-2-3-1,Felix Brych,Match Report,
